Studiejaar,Faculteit,Type,Codenationaliteit,Omschrijvingnationaliteit,Geslacht,Leeftijd,Leiden,Hoofdinschrijvingen
2014,Archeologie,ba,30,Belgische,Vrouw,23,n,1
2014,Archeologie,ba,32,Deense,Vrouw,21,j,1
2014,Archeologie,ba,35,Franse,Vrouw,21,n,1
2014,Archeologie,ba,3,Nederlandse,Man,17,j,1
2014,Archeologie,ba,3,Nederlandse,Man,18,j,10
2014,Archeologie,ba,3,Nederlandse,Man,18,n,2
2014,Archeologie,ba,3,Nederlandse,Man,19,j,5
2014,Archeologie,ba,3,Nederlandse,Man,19,n,11
2014,Archeologie,ba,3,Nederlandse,Man,20,j,3
2014,Archeologie,ba,3,Nederlandse,Man,20,n,13
2014,Archeologie,ba,3,Nederlandse,Man,21,j,1
2014,Archeologie,ba,3,Nederlandse,Man,21,n,17
2014,Archeologie,ba,3,Nederlandse,Man,22,n,14
2014,Archeologie,ba,3,Nederlandse,Man,23,n,6
2014,Archeologie,ba,3,Nederlandse,Man,24,n,9
2014,Archeologie,ba,3,Nederlandse,Man,25,n,7
2014,Archeologie,ba,3,Nederlandse,Man,26,n,4
2014,Archeologie,ba,3,Nederlandse,Man,28,n,6
2014,Archeologie,ba,3,Nederlandse,Man,29,n,1
2014,Archeologie,ba,3,Nederlandse,Man,30,n,2
2014,Archeologie,ba,3,Nederlandse,Man,31,n,1
2014,Archeologie,ba,3,Nederlandse,Man,32,n,1
2014,Archeologie,ba,3,Nederlandse,Man,37,n,1
2014,Archeologie,ba,3,Nederlandse,Man,58,n,1
2014,Archeologie,ba,3,Nederlandse,Man,69,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,17,j,4
2014,Archeologie,ba,3,Nederlandse,Vrouw,18,j,16
2014,Archeologie,ba,3,Nederlandse,Vrouw,18,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,19,j,8
2014,Archeologie,ba,3,Nederlandse,Vrouw,19,n,18
2014,Archeologie,ba,3,Nederlandse,Vrouw,20,j,3
2014,Archeologie,ba,3,Nederlandse,Vrouw,20,n,21
2014,Archeologie,ba,3,Nederlandse,Vrouw,21,j,2
2014,Archeologie,ba,3,Nederlandse,Vrouw,21,n,15
2014,Archeologie,ba,3,Nederlandse,Vrouw,22,j,3
2014,Archeologie,ba,3,Nederlandse,Vrouw,22,n,8
2014,Archeologie,ba,3,Nederlandse,Vrouw,23,j,2
2014,Archeologie,ba,3,Nederlandse,Vrouw,23,n,11
2014,Archeologie,ba,3,Nederlandse,Vrouw,24,j,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,24,n,3
2014,Archeologie,ba,3,Nederlandse,Vrouw,25,n,4
2014,Archeologie,ba,3,Nederlandse,Vrouw,26,n,5
2014,Archeologie,ba,3,Nederlandse,Vrouw,27,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,28,n,2
2014,Archeologie,ba,3,Nederlandse,Vrouw,31,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,34,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,67,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,68,n,1
2014,Archeologie,ba,3,Nederlandse,Vrouw,70,n,1
2014,Archeologie,ba,52,Roemeense,Man,23,j,1
2014,Archeologie,ba,58,Zweedse,Vrouw,26,n,1
2014,Archeologie,ma,132,Amerikaans Burger,Vrouw,22,j,1
2014,Archeologie,ma,132,Amerikaans Burger,Vrouw,29,j,1
2014,Archeologie,ma,200,Amerikaans Onderdaan,Vrouw,24,j,1
2014,Archeologie,ma,30,Belgische,Man,24,n,1
2014,Archeologie,ma,30,Belgische,Vrouw,22,n,1
2014,Archeologie,ma,30,Belgische,Vrouw,30,n,1
2014,Archeologie,ma,38,Brits Burger,Man,21,j,1
2014,Archeologie,ma,38,Brits Burger,Man,22,j,1
2014,Archeologie,ma,38,Brits Burger,Man,24,n,1
2014,Archeologie,ma,38,Brits Burger,Man,25,n,1
2014,Archeologie,ma,38,Brits Burger,Man,27,n,1
2014,Archeologie,ma,38,Brits Burger,Man,38,n,1
2014,Archeologie,ma,38,Brits Burger,Vrouw,22,j,2
2014,Archeologie,ma,38,Brits Burger,Vrouw,23,j,1
2014,Archeologie,ma,38,Brits Burger,Vrouw,28,n,1
2014,Archeologie,ma,38,Brits Burger,Vrouw,29,j,1
2014,Archeologie,ma,61,Brits Onderdaan,Man,61,n,1
2014,Archeologie,ma,61,Brits Onderdaan,Vrouw,23,j,1
2014,Archeologie,ma,33,Burger van de Bondsrepubliek Duitsland,Man,24,j,1
2014,Archeologie,ma,33,Burger van de Bondsrepubliek Duitsland,Vrouw,32,n,1
2014,Archeologie,ma,33,Burger van de Bondsrepubliek Duitsland,Vrouw,54,n,1
2014,Archeologie,ma,159,Indiase,Vrouw,23,n,1
2014,Archeologie,ma,119,Canadese,Vrouw,24,n,1
2014,Archeologie,ma,119,Canadese,Vrouw,26,n,1
2014,Archeologie,ma,156,Cyprische,Vrouw,24,n,1
2014,Archeologie,ma,34,Finse,Man,24,j,1
2014,Archeologie,ma,37,Griekse,Man,24,j,1
2014,Archeologie,ma,37,Griekse,Man,29,j,1
2014,Archeologie,ma,37,Griekse,Man,40,n,1
2014,Archeologie,ma,37,Griekse,Vrouw,23,j,1
2014,Archeologie,ma,37,Griekse,Vrouw,25,j,2
2014,Archeologie,ma,37,Griekse,Vrouw,29,j,2
2014,Archeologie,ma,37,Griekse,Vrouw,32,n,2
2014,Archeologie,ma,39,Hongaarse,Man,27,n,1
2014,Archeologie,ma,40,Ierse,Man,23,n,1
2014,Archeologie,ma,40,Ierse,Vrouw,25,n,1
2014,Archeologie,ma,40,Ierse,Vrouw,26,n,1
2014,Archeologie,ma,161,Iraakse,Vrouw,29,j,1
2014,Archeologie,ma,162,Iraanse,Vrouw,29,n,1
2014,Archeologie,ma,42,Italiaanse,Man,22,n,2
2014,Archeologie,ma,42,Italiaanse,Man,26,n,1
2014,Archeologie,ma,42,Italiaanse,Man,29,n,1
2014,Archeologie,ma,42,Italiaanse,Vrouw,24,n,1
2014,Archeologie,ma,22,Letse,Vrouw,26,n,1
2014,Archeologie,ma,3,Nederlandse,Man,21,n,4
2014,Archeologie,ma,3,Nederlandse,Man,22,j,1
2014,Archeologie,ma,3,Nederlandse,Man,22,n,11
2014,Archeologie,ma,3,Nederlandse,Man,23,n,8
2014,Archeologie,ma,3,Nederlandse,Man,24,n,7
2014,Archeologie,ma,3,Nederlandse,Man,25,n,6
2014,Archeologie,ma,3,Nederlandse,Man,26,n,6
2014,Archeologie,ma,3,Nederlandse,Man,27,n,3
2014,Archeologie,ma,3,Nederlandse,Man,28,n,1
2014,Archeologie,ma,3,Nederlandse,Man,29,n,3
2014,Archeologie,ma,3,Nederlandse,Man,30,n,6
2014,Archeologie,ma,3,Nederlandse,Man,40,n,1
2014,Archeologie,ma,3,Nederlandse,Man,45,n,1
2014,Archeologie,ma,3,Nederlandse,Man,58,n,1
2014,Archeologie,ma,3,Nederlandse,Man,66,n,1
2014,Archeologie,ma,3,Nederlandse,Man,67,n,1
2014,Archeologie,ma,3,Nederlandse,Man,69,n,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,20,j,1
2014,Archeologie,ma,3,Nederlandse,Vrouw,21,n,5
2014,Archeologie,ma,3,Nederlandse,Vrouw,22,j,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,22,n,16
2014,Archeologie,ma,3,Nederlandse,Vrouw,23,n,19
2014,Archeologie,ma,3,Nederlandse,Vrouw,24,j,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,24,n,18
2014,Archeologie,ma,3,Nederlandse,Vrouw,25,n,12
2014,Archeologie,ma,3,Nederlandse,Vrouw,26,n,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,27,n,3
2014,Archeologie,ma,3,Nederlandse,Vrouw,28,n,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,29,n,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,30,n,2
2014,Archeologie,ma,3,Nederlandse,Vrouw,32,n,3
2014,Archeologie,ma,3,Nederlandse,Vrouw,33,n,1
2014,Archeologie,ma,3,Nederlandse,Vrouw,34,n,1
2014,Archeologie,ma,3,Nederlandse,Vrouw,58,n,1
2014,Archeologie,ma,51,Portugese,Vrouw,21,j,1
2014,Archeologie,ma,52,Roemeense,Man,23,j,1
2014,Archeologie,ma,5,Slowaakse,Man,26,j,1
2014,Archeologie,ma,55,Spaanse,Man,23,n,1
2014,Archeologie,ma,181,Thaise,Vrouw,23,j,1
2014,Archeologie,ma,185,Zuid-Koreaanse,Man,37,j,1
2014,Geesteswetenschappen,ba,28,Albanese,Vrouw,20,n,2
2014,Geesteswetenschappen,ba,132,Amerikaans Burger,Man,22,j,1
2014,Geesteswetenschappen,ba,132,Amerikaans Burger,Man,24,n,1
2014,Geesteswetenschappen,ba,132,Amerikaans Burger,Man,27,j,1
2014,Geesteswetenschappen,ba,132,Amerikaans Burger,Vrouw,18,j,1
2014,Geesteswetenschappen,ba,132,Amerikaans Burger,Vrouw,23,j,1
2014,Geesteswetenschappen,ba,188,Australische,Man,21,n,1
2014,Geesteswetenschappen,ba,30,Belgische,Man,18,j,1
2014,Geesteswetenschappen,ba,30,Belgische,Man,19,j,1
2014,Geesteswetenschappen,ba,30,Belgische,Man,19,n,3
2014,Geesteswetenschappen,ba,30,Belgische,Man,20,n,4
2014,Geesteswetenschappen,ba,30,Belgische,Man,23,n,1
2014,Geesteswetenschappen,ba,30,Belgische,Man,25,n,2
2014,Geesteswetenschappen,ba,30,Belgische,Man,30,n,1
2014,Geesteswetenschappen,ba,30,Belgische,Man,61,n,1
