Code,Incoming
#N/D,143
AFG,14
AGO,1
ALB,19
ARE,1
ARG,5
ARM,6
AUS,64
AUT,205
AZE,16
BEL,498
BGR,232
BHR,2
BHS,1
BIH,15
BLR,9
BOL,4
BRA,81
BRN,4
BTN,5
BWA,2
CAN,109
CHE,144
CHL,40
CHN,571
CIV,3
CMR,7
COG,6
COL,95
CPV,3
CRI,9
CYP,120
CZE,126
DEU,1191
DNK,95
DOM,1
ECU,41
EGY,42
ERI,1
ESP,441
EST,50
ETH,7
FIN,272
FRA,479
GBR,893
GEO,36
GHA,19
GIN,4
GMB,1
GRC,696
GRD,1
GTM,6
HND,1
HRV,83
HTI,1
HUN,212
IDN,333
IND,249
IRL,276
IRN,66
IRQ,12
ISL,41
ISR,10
ITA,736
JAM,2
JOR,10
JPN,70
KAZ,17
KEN,31
KGZ,1
KHM,1
KOR,104
KWT,2
LAO,5
LBN,15
LKA,16
LTU,140
LUX,72
LVA,66
MAR,31
MDV,3
MEX,108
MKD,25
MLT,34
MNE,3
MNG,4
MRT,7
MWI,1
MYS,38
NGA,27
NLD,5888
NOR,130
NPL,5
NZL,10
OMN,3
PAN,6
PER,20
PHL,19
POL,338
PRT,198
PRY,1
QAT,12
ROU,263
RUS,151
RWA,1
SAU,9
SGP,32
SLE,2
SLV,1
SOM,3
SRB,25
SSD,3
SUR,134
SVK,157
SVN,69
SWE,179
SYR,43
THA,55
TJK,6
TTO,6
TUN,7
TUR,222
TWN,99
TZA,9
UGA,13
UKR,72
USA,364
UZB,9
VEN,10
VNM,32
YEM,1
ZAF,37
ZWE,7
