ISO,Incoming
#N/D,21
0,91
100,232
112,9
116,1
120,7
124,109
132,3
144,16
152,40
156,571
158,99
170,95
178,6
188,9
191,83
196,120
203,126
208,95
214,1
218,41
222,1
231,7
232,1
233,50
24,1
246,272
250,479
268,36
270,1
276,1191
288,19
300,696
308,1
31,16
32,5
320,6
324,4
332,1
340,1
348,212
352,41
356,249
36,64
360,333
364,66
368,12
372,276
376,10
380,736
384,3
388,2
392,70
398,17
4,14
40,205
400,10
404,31
410,104
414,2
417,1
418,5
422,15
428,66
44,1
440,140
442,72
454,1
458,38
462,3
470,34
478,7
48,2
484,108
496,4
499,3
504,31
51,6
512,3
524,5
528,5888
554,10
56,498
566,27
568,24
578,130
588,7
591,6
600,1
604,20
608,19
616,338
620,198
634,12
64,5
642,263
643,151
646,1
68,4
682,9
688,25
694,2
70,15
702,32
703,157
704,32
705,69
706,3
710,37
716,7
72,2
724,441
728,3
740,134
752,179
756,144
76,81
760,43
762,6
764,55
780,6
784,1
788,7
792,222
8,19
800,13
804,72
807,25
818,42
826,893
834,9
840,364
860,9
862,10
887,1
96,4
